date,temp_max,temp_min,temp_avg,precip,wind_speed,visibility,pressure,temp_cold,temp_very_cold,temp_extreme_heat,temp_deviation,temp_normalized,wind_strong,wind_very_strong,wind_normalized,wind_chill,wind_chill_extreme,visibility_low,visibility_very_low,visibility_normalized,has_precipitation,has_heavy_precipitation,precipitation_normalized,has_snow,has_rain,has_thunderstorm,has_haze,has_fog,bad_weather,humidity_high,humidity_normalized,pressure_low,pressure_normalized,weather_risk_score,weather_risk_high,weather_risk_extreme,is_morning,is_afternoon,is_evening,is_night
20140301,40,33,36.5,0.0,13,10.0,30.09006109843544,0,0,0,-2.0806451612903203,0.0661764705882353,0,0,0.26,27.366003492295345,0,0,0,1.0,0,0,0.0,0,0,0,0,0,0,0,0.5,0,0.7918987768793802,0.0,0,0,0,0,0,0
20140302,47,37,42.0,0.0,16,6.0,30.15052604104064,0,0,0,3.4193548387096797,0.14705882352941177,1,0,0.32,33.48236448528533,0,0,0,0.6,0,0,0.0,0,0,0,0,0,0,0,0.5,0,0.9187445224143476,0.15,0,0,0,0,0,0
20140303,41,34,37.5,0.3,9,8.0,29.891126893675644,0,0,0,-1.0806451612903203,0.08088235294117647,0,0,0.18,30.383559689998144,0,0,0,0.8,1,1,0.25,0,1,0,0,0,1,0,0.5,0,0.3745667423494487,0.1,0,0,0,0,0,0
20140304,53,39,46.0,0.1,11,10.0,30.0548677601024,0,0,0,7.41935483870968,0.20588235294117646,0,0,0.22,40.18536461882415,0,0,0,1.0,1,0,0.08333333333333334,0,1,0,0,0,1,0,0.5,0,0.7180688012542109,0.1,0,0,0,0,0,0
20140305,53,25,39.0,0.0,18,10.0,30.06413986004469,0,0,0,0.4193548387096797,0.10294117647058823,1,0,0.36,28.995473967805147,0,0,0,1.0,0,0,0.0,0,0,0,0,0,0,0,0.5,0,0.737520178848894,0.15,0,0,0,0,0,0
20140306,47,26,36.5,1.2,15,6.0,29.92856639596129,0,0,0,-2.0806451612903203,0.0661764705882353,0,0,0.3,26.646674740145514,0,0,0,0.6,1,1,1.0,0,1,0,0,0,1,0,0.5,0,0.45310880945913945,0.1,0,0,0,0,0,0
20140307,45,40,42.5,0.1,10,6.0,29.75546755883367,0,0,0,3.9193548387096797,0.15441176470588236,0,0,0.2,36.16361601563129,0,0,0,0.6,1,0,0.08333333333333334,0,1,0,0,0,1,0,0.5,0,0.08997522988964765,0.1,0,0,0,0,0,0
20140308,47,35,41.0,0.2,13,8.0,29.901246077668723,0,0,0,2.4193548387096797,0.1323529411764706,0,0,0.26,33.128529435421086,0,0,0,0.8,1,1,0.16666666666666669,0,1,0,0,0,1,0,0.5,0,0.39579516633371953,0.1,0,0,0,0,0,0
20140309,36,33,34.5,0.0,19,5.0,29.86408478426083,0,0,0,-4.08064516129032,0.03676470588235294,1,0,0.38,22.778102450948463,0,0,0,0.5,0,0,0.0,0,0,0,0,0,0,0,0.5,0,0.31783673679966234,0.15,0,0,0,0,0,0
20140310,41,39,40.0,1.2,6,6.0,29.97660906688389,0,0,0,1.4193548387096797,0.11764705882352941,0,0,0.12,35.193677588248136,0,0,0,0.6,1,1,1.0,0,1,0,0,0,1,0,0.5,0,0.5538946226609908,0.1,0,0,0,0,0,0
20140311,45,30,37.5,0.2,18,8.0,30.176481339735613,0,0,0,-1.0806451612903203,0.08088235294117647,1,0,0.36,27.021794774087677,0,0,0,0.8,1,1,0.16666666666666669,0,1,0,0,0,1,0,0.5,0,0.9731945734967378,0.25,0,0,0,0,0,0
20140312,51,37,44.0,0.5,20,5.0,29.915497622855767,0,0,0,5.41935483870968,0.17647058823529413,1,0,0.4,35.10669167137716,0,0,0,0.5,1,1,0.4166666666666667,0,1,0,0,0,1,0,0.5,0,0.4256926208980849,0.25,0,0,0,0,0,0
20140313,36,31,33.5,0.0,15,8.0,29.712578086362814,0,0,0,-5.08064516129032,0.022058823529411766,0,0,0.3,22.759198676572225,0,0,0,0.8,0,0,0.0,0,0,0,0,0,0,0,0.5,0,0.0,0.0,0,0,0,0,0,0
20140314,48,33,40.5,0.0,18,10.0,29.94875310166845,0,0,0,1.9193548387096797,0.125,1,0,0.36,30.969153161522616,0,0,0,1.0,0,0,0.0,0,0,0,0,0,0,0,0.5,0,0.4954572782576483,0.15,0,0,0,0,0,0
20140315,48,37,42.5,0.0,17,10.0,30.03738549829272,0,0,0,3.9193548387096797,0.15441176470588236,1,0,0.34,33.86066229699827,0,0,0,1.0,0,0,0.0,0,0,0,0,0,0,0,0.5,0,0.6813938217149824,0.15,0,0,0,0,0,0
20140316,39,26,32.5,0.1,15,5.0,30.06354888065776,0,0,0,-6.08064516129032,0.007352941176470588,0,0,0.3,21.46337332204779,0,0,0,0.5,1,0,0.08333333333333334,0,1,0,0,0,1,0,0.5,0,0.7362803989417074,0.1,0,0,0,0,0,0
20140317,49,29,39.0,0.2,14,5.0,29.76568309020549,0,0,0,0.4193548387096797,0.10294117647058823,0,0,0.28,30.216595635717912,0,0,0,0.5,1,1,0.16666666666666669,0,1,0,0,0,1,0,0.5,0,0.11140577521167323,0.1,0,0,0,0,0,0
20140318,35,35,35.0,0.2,15,6.0,30.171043917305315,0,0,0,-3.5806451612903203,0.04411764705882353,0,0,0.3,24.702936708358873,0,0,0,0.6,1,1,0.16666666666666669,0,1,0,0,0,1,0,0.5,0,0.9617877338927858,0.1,0,0,0,0,0,0
20140319,40,28,34.0,0.2,10,10.0,30.066727242496786,0,0,0,-4.58064516129032,0.029411764705882353,0,0,0.2,25.509140491809042,0,0,0,1.0,1,1,0.16666666666666669,0,1,0,0,0,1,0,0.5,0,0.742948091983006,0.1,0,0,0,0,0,0
20140320,48,39,43.5,1.2,13,10.0,29.98081589672053,0,0,0,4.91935483870968,0.16911764705882354,0,0,0.26,36.3299327371576,0,0,0,1.0,1,1,1.0,0,1,0,0,0,1,0,0.5,0,0.5627198765019082,0.1,0,0,0,0,0,0
20140321,42,28,35.0,0.1,15,5.0,30.189258974241145,0,0,0,-3.5806451612903203,0.04411764705882353,0,0,0.3,24.702936708358873,0,0,0,0.5,1,0,0.08333333333333334,0,1,0,0,0,1,0,0.5,0,1.0,0.1,0,0,0,0,0,0
20140322,45,28,36.5,0.0,14,10.0,30.054454664193425,0,0,0,-2.0806451612903203,0.0661764705882353,0,0,0.28,26.995539369733034,0,0,0,1.0,0,0,0.0,0,0,0,0,0,0,0,0.5,0,0.7172021923351631,0.0,0,0,0,0,0,0
20140323,40,26,33.0,0.3,13,10.0,29.82950644084562,0,0,0,-5.58064516129032,0.014705882352941176,0,0,0.26,22.88403886986422,0,0,0,1.0,1,1,0.25,0,1,0,0,0,1,0,0.5,0,0.24529692181124438,0.1,0,0,0,0,0,0
20140324,35,38,36.5,0.1,16,10.0,30.063992932322314,0,0,0,-2.0806451612903203,0.0661764705882353,1,0,0.32,26.316829053761147,0,0,0,1.0,1,0,0.08333333333333334,0,1,0,0,0,1,0,0.5,0,0.7372119480678567,0.25,0,0,0,0,0,0
20140325,43,40,41.5,0.1,6,6.0,29.89593826150644,0,0,0,2.9193548387096797,0.13970588235294118,0,0,0.12,36.99948277572995,0,0,0,0.6,1,0,0.08333333333333334,0,1,0,0,0,1,0,0.5,0,0.3846602198794836,0.1,0,0,0,0,0,0
20140326,49,25,37.0,0.0,6,5.0,30.138248211983534,0,0,0,-1.5806451612903203,0.07352941176470588,0,0,0.12,31.582067213284496,0,0,0,0.5,0,0,0.0,0,0,0,0,0,0,0,0.5,0,0.8929876075278446,0.0,0,0,0,0,0,0
20140327,51,40,45.5,1.2,10,10.0,30.1112842491398,0,0,0,6.91935483870968,0.19852941176470587,0,0,0.2,39.9240191416862,0,0,0,1.0,1,1,1.0,0,1,0,0,0,1,0,0.5,0,0.8364215409424012,0.1,0,0,0,0,0,0
20140328,49,28,38.5,0.1,11,10.0,30.07595867782707,0,0,0,-0.08064516129032029,0.09558823529411764,0,0,0.22,30.711523326259947,0,0,0,1.0,1,0,0.08333333333333334,0,1,0,0,0,1,0,0.5,0,0.7623141617479882,0.1,0,0,0,0,0,0
20140329,37,32,34.5,0.0,19,10.0,29.747491162402948,0,0,0,-4.08064516129032,0.03676470588235294,1,0,0.38,22.778102450948463,0,0,0,1.0,0,0,0.0,0,0,0,0,0,0,0,0.5,0,0.07324203031409351,0.15,0,0,0,0,0,0
20140330,53,27,40.0,0.0,15,8.0,30.15947502344221,0,0,0,1.4193548387096797,0.11764705882352941,0,0,0.3,31.18206348098103,0,0,0,0.8,0,0,0.0,0,0,0,0,0,0,0,0.5,0,0.9375180512659054,0.0,0,0,0,0,0,0
20140331,52,29,40.5,0.5,18,6.0,29.898082678168624,0,0,0,1.9193548387096797,0.125,1,0,0.36,30.969153161522616,0,0,0,0.6,1,1,0.4166666666666667,0,1,0,0,0,1,0,0.5,0,0.38915886187817583,0.25,0,0,0,0,0,0
